[2026-06-14 20:18:38] =======================================================
[2026-06-14 20:18:38] YFINANCE MISSING DATA POPULATION
[2026-06-14 20:18:38] Job ID:    917471b2
[2026-06-14 20:18:38] Start:     2026-06-14 20:18:38
[2026-06-14 20:18:38] Dry Run:   False
[2026-06-14 20:18:38] Test Mode: True (first 50 tickers only)
[2026-06-14 20:18:38] Force All: False (re-fetch all tickers)
[2026-06-14 20:18:38] =======================================================
[2026-06-14 20:18:38] PostgreSQL connection established.
[2026-06-14 20:18:38] Loading tickers with missing yfinance data...
[2026-06-14 20:18:38] [TEST MODE] Limited to first 50 tickers.
[2026-06-14 20:18:38] Found 50 tickers with missing yfinance data.
[2026-06-14 20:18:38] Checking for Questionable stocks due to missing market cap...
[2026-06-14 20:18:39]   Added 1180 Questionable tickers with missing market cap.
[2026-06-14 20:18:39] Total tickers to process: 1190
[2026-06-14 20:18:39] Starting yfinance fetch...
[2026-06-14 20:20:57]   [OK] ANGHW — price: 0.0143, mktcap: N/A
[2026-06-14 20:20:59]   [OK] ANSCU — price: 12.51, mktcap: 524,548,160
[2026-06-14 20:21:01]   [OK] ANSCW — price: 0.2, mktcap: N/A
[2026-06-14 20:21:02]   [OK] APACR — price: 0.16, mktcap: N/A
[2026-06-14 20:21:04]   [OK] APACU — price: 10.21, mktcap: 82,911,632
[2026-06-14 20:21:06]   [NO PRICE] yfinance has no price data for APEX
[2026-06-14 20:21:07]   [NO PRICE] yfinance has no price data for APMC
[2026-06-14 20:21:09]   [OK] APMCU — price: 9.98, mktcap: N/A
[2026-06-14 20:21:11]   [OK] APURR — price: 0.21, mktcap: N/A
[2026-06-14 20:21:12]   [OK] APURU — price: 10.09, mktcap: N/A
[2026-06-14 20:21:14]   [OK] APXTU — price: 10.25, mktcap: 470,327,808
[2026-06-14 20:21:16]   [OK] APXTW — price: 0.28, mktcap: N/A
[2026-06-14 20:21:18]   [OK] AQNB — price: 26.08, mktcap: N/A
[2026-06-14 20:21:19]   [OK] ARBEW — price: 0.0326, mktcap: N/A
[2026-06-14 20:21:21]   [OK] ARCIU — price: 10.26, mktcap: 49,640,376
[2026-06-14 20:21:23]   [OK] ARCIW — price: 0.55, mktcap: N/A
[2026-06-14 20:21:24]   [OK] ARCLR — price: 0.23, mktcap: N/A
[2026-06-14 20:21:26]   [OK] ARCLU — price: 10.2, mktcap: N/A
[2026-06-14 20:21:28]   [OK] ARCLW — price: 0.11, mktcap: N/A
[2026-06-14 20:21:30]   [OK] ARKB — price: 21.08, mktcap: N/A
[2026-06-14 20:21:31]   [OK] ARQQW — price: 0.0545, mktcap: N/A
[2026-06-14 20:21:33]   [OK] ASPCR — price: 0.101, mktcap: N/A
[2026-06-14 20:21:33]   Batch 2 complete. Pausing 3.0s...
[2026-06-14 20:21:36]   Batch 3/24 (50 tickers)...
[2026-06-14 20:21:38]   [OK] ASPCU — price: 11.5, mktcap: 26,211,854
[2026-06-14 20:21:39]   [OK] ASTLW — price: 0.045, mktcap: N/A
[2026-06-14 20:21:41]   [OK] ATEKU — price: 20.0, mktcap: 125,315,424
[2026-06-14 20:21:43]   [OK] ATEKW — price: 0.027, mktcap: N/A
[2026-06-14 20:21:45]   [OK] ATIIU — price: 12.32, mktcap: 351,043,168
[2026-06-14 20:21:47]   [OK] ATIIW — price: 2.25, mktcap: N/A
[2026-06-14 20:21:48]   [OK] ATMP — price: 34.6961, mktcap: N/A
[2026-06-14 20:21:50]   [OK] AUROW — price: 0.3, mktcap: N/A
[2026-06-14 20:21:52]   [NO PRICE] yfinance has no price data for AVAC
[2026-06-14 20:21:53]   [OK] AXINR — price: 0.3668, mktcap: N/A
[2026-06-14 20:21:55]   [OK] AXINU — price: 10.87, mktcap: 295,843,520
[2026-06-14 20:21:57]   [NO PRICE] yfinance has no price data for AZUXY
[2026-06-14 20:21:59]   [OK] BACCR — price: 0.35, mktcap: N/A
[2026-06-14 20:22:00]   [OK] BACCU — price: 11.05, mktcap: 308,623,360
[2026-06-14 20:22:02]   [OK] BAMGF — price: 16.8976, mktcap: 413,124,395,008
[2026-06-14 20:22:04]   [OK] BAMKF — price: 12.5, mktcap: 403,301,957,632
[2026-06-14 20:22:05]   [OK] BANFP — price: 26.63, mktcap: N/A
[2026-06-14 20:22:07]   [OK] BA-PA — price: 68.68, mktcap: N/A
[2026-06-14 20:22:09]   [OK] BAR — price: 41.47, mktcap: N/A
[2026-06-14 20:22:11]   [OK] BAVA — price: 17.7185, mktcap: N/A
[2026-06-14 20:22:12]   [OK] BAYAR — price: 0.12, mktcap: N/A
[2026-06-14 20:22:14]   [OK] BAYAU — price: 12.75, mktcap: 36,788,036
[2026-06-14 20:22:16]   [NO PRICE] yfinance has no price data for BBAAY
[2026-06-14 20:22:18]   [OK] BBCQU — price: 12.0, mktcap: 458,668,992
